title,description,Course curriculum,About the Instructor,combined_text
Data Science Career Conclave,"It feels like half the world wants to move into data science these days, with spectacular perks and a plethora of openings on offer in the industry. Organizations are investing heavily in data science talent to stay or move ahead of their competitors. As a data science aspirant, you couldn’t have picked a better time to change your career!

But this comes with its own set of challenges. We are often asked by folks about how they should transition into data science. People from all sorts of backgrounds – IT, Sales, Finance, HR, Healthcare, etc. – they all want a piece of the data science pie.
In this exclusive course called the “Data Science Career Conclave”, Analytics Vidhya has brought together leading data science experts to share their view on a broad range of data science career topics.
 
What is being covered in this Data Science Career Conclave?
As we said, a broad range of topics related to transitioning into a data science career. Here’s a brief list of topics you can look forward to:

Different Roles in Data Science - Which Role is Right for You? - by Mathangi Sri
What are Hiring Managers Really Looking For? - by Kiran R
How to Build your Digital Profile for Data Science - by Dipanjan Sarkar
Panel Discussion: How can you Transition into Data Science in 12 Months?","Introduction to the Career Conclave
                    
                    
                      



 Different Roles in Data Science - Which Role is Right For You?
                    
                    
                      



What are Hiring Managers Really Looking For?
                    
                    
                      



How to Build your Digital Profile for Data Science
                    
                    
                      



Panel Discussion: How can you Transition into Data Science in 12 Months?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Data Science Career Conclave It feels like half the world wants to move into data science these days, with spectacular perks and a plethora of openings on offer in the industry. Organizations are investing heavily in data science talent to stay or move ahead of their competitors. As a data science aspirant, you couldn’t have picked a better time to change your career!

But this comes with its own set of challenges. We are often asked by folks about how they should transition into data science. People from all sorts of backgrounds – IT, Sales, Finance, HR, Healthcare, etc. – they all want a piece of the data science pie.
In this exclusive course called the “Data Science Career Conclave”, Analytics Vidhya has brought together leading data science experts to share their view on a broad range of data science career topics.
 
What is being covered in this Data Science Career Conclave?
As we said, a broad range of topics related to transitioning into a data science career. Here’s a brief list of topics you can look forward to:

Different Roles in Data Science - Which Role is Right for You? - by Mathangi Sri
What are Hiring Managers Really Looking For? - by Kiran R
How to Build your Digital Profile for Data Science - by Dipanjan Sarkar
Panel Discussion: How can you Transition into Data Science in 12 Months? Introduction to the Career Conclave
                    
                    
                      



 Different Roles in Data Science - Which Role is Right For You?
                    
                    
                      



What are Hiring Managers Really Looking For?
                    
                    
                      



How to Build your Digital Profile for Data Science
                    
                    
                      



Panel Discussion: How can you Transition into Data Science in 12 Months?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Top Data Science Projects for Analysts and Data Scientists,"This is a very common question interviewers ask in data science interviews. We have conducted hundreds of these interviews for both data analyst and data scientist roles and this is quite often the jackpot question. This is especially true if you’re a fresher or a relative newcomer to data science.
Just doing courses or attaining certifications isn’t good enough. Almost everyone we know holds certifications in various aspects of data science. It adds no value to your resume if you don’t combine it with practical experience.
And that’s where open-source data science projects play such a key role!","About the Data Science Projects Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Top Data Science Projects for Analysts and Data Scientists This is a very common question interviewers ask in data science interviews. We have conducted hundreds of these interviews for both data analyst and data scientist roles and this is quite often the jackpot question. This is especially true if you’re a fresher or a relative newcomer to data science.
Just doing courses or attaining certifications isn’t good enough. Almost everyone we know holds certifications in various aspects of data science. It adds no value to your resume if you don’t combine it with practical experience.
And that’s where open-source data science projects play such a key role! About the Data Science Projects Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Getting Started with Git and GitHub for Data Science Professionals,"Ever heard of version control? It is one of the most important concepts in a data scientist’s daily role - and yet most newcomers and beginners haven’t even come across it! This is a fallacy you must overcome as soon as possible.
You need to understand how to navigate through Git and GitHub if you want to make it as a data science professional. While a lot of folks know about these tools (having used them for cloning open source code from Google Research and other top data science organizations), they never really understand their real purpose.
The beauty of version control will be akin to a revelation. The way you can create a remote project and have all your team members work on different features parallelly yet independently but still have a stable running code at the end of the day - priceless! A lot of the problem we face in data science while working remotely and independently will be erased with a quick understanding of Git and GitHub.
Yes, this course really is that important!","What is Git?
                    
                    
                      



What is Github?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Getting Started with Git and GitHub for Data Science Professionals Ever heard of version control? It is one of the most important concepts in a data scientist’s daily role - and yet most newcomers and beginners haven’t even come across it! This is a fallacy you must overcome as soon as possible.
You need to understand how to navigate through Git and GitHub if you want to make it as a data science professional. While a lot of folks know about these tools (having used them for cloning open source code from Google Research and other top data science organizations), they never really understand their real purpose.
The beauty of version control will be akin to a revelation. The way you can create a remote project and have all your team members work on different features parallelly yet independently but still have a stable running code at the end of the day - priceless! A lot of the problem we face in data science while working remotely and independently will be erased with a quick understanding of Git and GitHub.
Yes, this course really is that important! What is Git?
                    
                    
                      



What is Github?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Machine Learning Starter Program,"We generate more than 2.5 quintillion bytes of data every day - and companies across the globe are hiring data scientists to make sense of this data.
A data scientist’s job is one of the most sought-after in the 21st century. Companies are increasingly looking for professionals with a variety of skills in Machine Learning. And that's what we are here to give you via our Machine Learning Starter Program.
This is the perfect starting point to ignite your fledgling machine learning career and take a HUGE step towards your dream data scientist role.",No curriculum available,No instructor available,"Machine Learning Starter Program We generate more than 2.5 quintillion bytes of data every day - and companies across the globe are hiring data scientists to make sense of this data.
A data scientist’s job is one of the most sought-after in the 21st century. Companies are increasingly looking for professionals with a variety of skills in Machine Learning. And that's what we are here to give you via our Machine Learning Starter Program.
This is the perfect starting point to ignite your fledgling machine learning career and take a HUGE step towards your dream data scientist role. No curriculum available No instructor available"
"Data Science Hacks, Tips and Tricks","The Data Science Hacks, Tips and Tricks course is your one stop destination to become a better and more efficient data scientist!
We have poured in our decades of experience with data science and programming (especially Python programming!), to provide you with time-saving hacks related to:

Python tips and tricks
Data exploration tips and tricks
Data preprocessing hacks
Efficient use of Jupyter notebooks
Python functions
Building predictive models (hacks to build machine learning models in no time!),


And much more! 
We have created the Data Science hacks, tips and tricks course in a way that you can go through each hack as a separate module. Since the goal of the hacks, tips and tricks is to provide you with efficient code to solve problems, the videos are a demo of these hacks, tips and tricks. The videos are self-explanatory.
This free course by Analytics Vidhya covers a broad range of data science hacks, tips and tricks, including Python programming hacks, tips and tricks to ace data science tasks like data preprocessing and data exploration, and much more. Get started today!","About the Data Science Hacks, Tips and Tricks Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Data Science Hacks, Tips and Tricks The Data Science Hacks, Tips and Tricks course is your one stop destination to become a better and more efficient data scientist!
We have poured in our decades of experience with data science and programming (especially Python programming!), to provide you with time-saving hacks related to:

Python tips and tricks
Data exploration tips and tricks
Data preprocessing hacks
Efficient use of Jupyter notebooks
Python functions
Building predictive models (hacks to build machine learning models in no time!),


And much more! 
We have created the Data Science hacks, tips and tricks course in a way that you can go through each hack as a separate module. Since the goal of the hacks, tips and tricks is to provide you with efficient code to solve problems, the videos are a demo of these hacks, tips and tricks. The videos are self-explanatory.
This free course by Analytics Vidhya covers a broad range of data science hacks, tips and tricks, including Python programming hacks, tips and tricks to ace data science tasks like data preprocessing and data exploration, and much more. Get started today! About the Data Science Hacks, Tips and Tricks Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introduction to Business Analytics,"Getting Started with Business Analytics
What is Business Analytics? Why has it become so popular recently? What are some of the popular applications of Business Analytics? And more importantly, how can you get started with learning Business Analytics from scratch?
With growth in digitisation, Business Analytics is ubiquitous right now. Organizations are splurging to integrate data science solutions in their daily processes. This is where they need Business Analysts.
Why pursue Business Analytics:

Data is ubiquitous! Organizations need people who can use Business Analytics tools and techniques to make sense of this data. 
It is one of the hottest field in the industry right now
There are so many Business Analytics tools and techniques which can be applied to solve business problems. Keep learning, keep growing!
The potential of Business Analytics is limitless - spanning across industries, roles and functions","What is Business Analytics?
                    
                    
                      



Quiz: What is Business Analytics
                    
                    
                      



You just joined an exicting startup!
                    
                    
                      



Quiz - Map the Job families
                    
                    
                      



Data Scientist vs. Data Engineer vs. Business Analyst
                    
                    
                      



Quiz - Map the responsibilities
                    
                    
                      



Sample problems and projects - Business Analytics vs. Data Science
                    
                    
                      



Quiz: Sample problems and Projects - Business Analysts vs. Data Scientits
                    
                    
                      



A few more things - Business Analytics vs. Data Science
                    
                    
                      



Career in Business Analytics
                    
                    
                      



Knowing Each other
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to Business Analytics Getting Started with Business Analytics
What is Business Analytics? Why has it become so popular recently? What are some of the popular applications of Business Analytics? And more importantly, how can you get started with learning Business Analytics from scratch?
With growth in digitisation, Business Analytics is ubiquitous right now. Organizations are splurging to integrate data science solutions in their daily processes. This is where they need Business Analysts.
Why pursue Business Analytics:

Data is ubiquitous! Organizations need people who can use Business Analytics tools and techniques to make sense of this data. 
It is one of the hottest field in the industry right now
There are so many Business Analytics tools and techniques which can be applied to solve business problems. Keep learning, keep growing!
The potential of Business Analytics is limitless - spanning across industries, roles and functions What is Business Analytics?
                    
                    
                      



Quiz: What is Business Analytics
                    
                    
                      



You just joined an exicting startup!
                    
                    
                      



Quiz - Map the Job families
                    
                    
                      



Data Scientist vs. Data Engineer vs. Business Analyst
                    
                    
                      



Quiz - Map the responsibilities
                    
                    
                      



Sample problems and projects - Business Analytics vs. Data Science
                    
                    
                      



Quiz: Sample problems and Projects - Business Analysts vs. Data Scientits
                    
                    
                      



A few more things - Business Analytics vs. Data Science
                    
                    
                      



Career in Business Analytics
                    
                    
                      



Knowing Each other
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introduction to PyTorch for Deep Learning,"Welcome to the world of PyTorch - a deep learning framework that has changed and re-imagined the way we build deep learning models.
 
PyTorch was recently voted as the favorite deep learning framework among researchers. It has left TensorFlow behind and continues to be the deep learning framework of choice for many experts and practitioners.
 
PyTorch is super flexible and is quite easy to grasp, even for deep learning beginners. If you work on deep learning and computer vision projects, you’ll love working with PyTorch.","Getting Started with PyTorch
                    
                    
                      



Why should we use PyTorch?
                    
                    
                      



A word from the creators of PyTorch
                    
                    
                      



Tensors in PyTorch
                    
                    
                      



Mathematical Operations in PyTorch(vs. NumPy)
                    
                    
                      



Matrix Operations in PyTorch(vs. NumPy)
                    
                    
                      



Tensor Operations
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to PyTorch for Deep Learning Welcome to the world of PyTorch - a deep learning framework that has changed and re-imagined the way we build deep learning models.
 
PyTorch was recently voted as the favorite deep learning framework among researchers. It has left TensorFlow behind and continues to be the deep learning framework of choice for many experts and practitioners.
 
PyTorch is super flexible and is quite easy to grasp, even for deep learning beginners. If you work on deep learning and computer vision projects, you’ll love working with PyTorch. Getting Started with PyTorch
                    
                    
                      



Why should we use PyTorch?
                    
                    
                      



A word from the creators of PyTorch
                    
                    
                      



Tensors in PyTorch
                    
                    
                      



Mathematical Operations in PyTorch(vs. NumPy)
                    
                    
                      



Matrix Operations in PyTorch(vs. NumPy)
                    
                    
                      



Tensor Operations
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introductory Data Science for Business Managers,"The data science revolution is well and truly disrupting multiple and diverse industries. It has become the centerpiece of strategic decision making for organizations. Are you prepared to enable it for your business and your current role?
There is a serious shortage of decision-makers in the data science universe. While projects are springing up everywhere, the managers and leaders required to guide and mentor data science teams are rare to find.
Data Science for Managers is a thoughtfully curated program designed especially for decision-makers. Whether you’re a manager, team leader, CxO or entrepreneur, you NEED to be data science educated. And this is the perfect program to get you there.
You will get access to three of the most comprehensive courses in this certified program. Enable yourself, and your business, to be ready for the Artificial Intelligence revolution!

Key Takeaways from Certified Program: Introductory Data Science for Business Managers


Artificial Intelligence and Machine Learning for Business Leaders: The ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs

Introduction to Data Science: Every data science manager and leader should have a good hold on core data science techniques. This course will teach you the basics of the most popular data science language – Python, the basics of core statistics, and introduce you to the essential machine learning algorithms used in businesses today

Tableau 2.0 - Master Tableau from Scratch: Convert your data into actionable insights, create dashboards to impress your clients, and learn Tableau tips, tricks, and best practices for your analytics, business intelligence or data science role!



Why you should take this certified program?


Upskill yourself for the AI Revolution: Artificial Intelligence has already started making a huge impact in various industries, roles and functions. The time to upskill yourself and become familiar with artificial intelligence and machine learning is NOW. This comprehensive program will enable you to do just that.

Easy to understand content: Understanding data science concepts can be difficult. Especially if you’re a mid or late-career transitioner coming from a non-technical background. That’s why all the courses in this program have been curated and designed for people from all walks of life. We don’t assume anything – this is data science from scratch.

Experienced Instructors: All the material in this program was created by instructors who bring immense industry experience of data science. Combined among us, we have more than two decades of teaching experience.

Industry Relevant: All the courses in this program have been vetted by industry experts. This ensures relevance in the industry and enables you with the content which matters most.

Real life problems: All projects in the program are modelled on real-world scenarios. We mean it when we say “industry relevant”!


Prerequisites of Certified Program: Introductory Data Science for Business Managers
This program requires no past knowledge about Data Science or any tool.",No curriculum available,No instructor available,"Introductory Data Science for Business Managers The data science revolution is well and truly disrupting multiple and diverse industries. It has become the centerpiece of strategic decision making for organizations. Are you prepared to enable it for your business and your current role?
There is a serious shortage of decision-makers in the data science universe. While projects are springing up everywhere, the managers and leaders required to guide and mentor data science teams are rare to find.
Data Science for Managers is a thoughtfully curated program designed especially for decision-makers. Whether you’re a manager, team leader, CxO or entrepreneur, you NEED to be data science educated. And this is the perfect program to get you there.
You will get access to three of the most comprehensive courses in this certified program. Enable yourself, and your business, to be ready for the Artificial Intelligence revolution!

Key Takeaways from Certified Program: Introductory Data Science for Business Managers


Artificial Intelligence and Machine Learning for Business Leaders: The ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs

Introduction to Data Science: Every data science manager and leader should have a good hold on core data science techniques. This course will teach you the basics of the most popular data science language – Python, the basics of core statistics, and introduce you to the essential machine learning algorithms used in businesses today

Tableau 2.0 - Master Tableau from Scratch: Convert your data into actionable insights, create dashboards to impress your clients, and learn Tableau tips, tricks, and best practices for your analytics, business intelligence or data science role!



Why you should take this certified program?


Upskill yourself for the AI Revolution: Artificial Intelligence has already started making a huge impact in various industries, roles and functions. The time to upskill yourself and become familiar with artificial intelligence and machine learning is NOW. This comprehensive program will enable you to do just that.

Easy to understand content: Understanding data science concepts can be difficult. Especially if you’re a mid or late-career transitioner coming from a non-technical background. That’s why all the courses in this program have been curated and designed for people from all walks of life. We don’t assume anything – this is data science from scratch.

Experienced Instructors: All the material in this program was created by instructors who bring immense industry experience of data science. Combined among us, we have more than two decades of teaching experience.

Industry Relevant: All the courses in this program have been vetted by industry experts. This ensures relevance in the industry and enables you with the content which matters most.

Real life problems: All projects in the program are modelled on real-world scenarios. We mean it when we say “industry relevant”!


Prerequisites of Certified Program: Introductory Data Science for Business Managers
This program requires no past knowledge about Data Science or any tool. No curriculum available No instructor available"
Introduction to Natural Language Processing,"Natural Language Processing is the art of extracting information from unstructured text. Learn basics of Natural Language Processing, Regular Expressions & text sentiment analysis using machine learning in this course.","Welcome to the Course
                    
                    
                      



About the Course
                    
                    
                      



Introduction to Natural Language Processing
                    
                    
                      



Exercise : Introduction to Natural Language Processing
                    
                    
                      



Python for Data Science (Optional)
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to Natural Language Processing Natural Language Processing is the art of extracting information from unstructured text. Learn basics of Natural Language Processing, Regular Expressions & text sentiment analysis using machine learning in this course. Welcome to the Course
                    
                    
                      



About the Course
                    
                    
                      



Introduction to Natural Language Processing
                    
                    
                      



Exercise : Introduction to Natural Language Processing
                    
                    
                      



Python for Data Science (Optional)
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Getting started with Decision Trees,"What is a Decision Tree?
A Decision Tree is a flowchart like structure, where each node represents a decision, each branch represents an outcome of the decision, and each terminal node provides a prediction / label.

Why learn about Decision Trees?

Decision Trees are the most widely and commonly used machine learning algorithms.
Decision Trees can be used for solving both classification as well as regression problems.
Decision Trees are robust to Outliers, so if you have Outliers in your data - you can still build Decision Tree models without worrying about impact of Outliers on your model.
Decision Trees are easy to interpret and hence have multiple applications in different industries.","Introduction to Decision Tree
                    
                    
                      



Purity in Decision Trees
                    
                    
                      



Quiz: Purity in Decision Trees
                    
                    
                      



Terminologies Related to Decision Trees
                    
                    
                      



Quiz: Introduction to Decision Trees
                    
                    
                      



Terminologies Related to Decision Trees
                    
                    
                      



How to Select the Best Split Point in Decision Trees
                    
                    
                      



Quiz: How to Select the Best Split Point in Decision Trees
                    
                    
                      



Chi-Square
                    
                    
                      



Quiz: Chi-Square
                    
                    
                      



Information Gain
                    
                    
                      



Quiz: Information Gain
                    
                    
                      



Reduction in Variance
                    
                    
                      



Quiz: Reduction in Variance
                    
                    
                      



Optimizing Performance of Decision Trees
                    
                    
                      



Quiz: Optimizing Performance of Decision Trees
                    
                    
                      



Decision Tree Implementation
                    
                    
                      



Dataset: Decision Tree Implementation
                    
                    
                      



Where to go from here?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Getting started with Decision Trees What is a Decision Tree?
A Decision Tree is a flowchart like structure, where each node represents a decision, each branch represents an outcome of the decision, and each terminal node provides a prediction / label.

Why learn about Decision Trees?

Decision Trees are the most widely and commonly used machine learning algorithms.
Decision Trees can be used for solving both classification as well as regression problems.
Decision Trees are robust to Outliers, so if you have Outliers in your data - you can still build Decision Tree models without worrying about impact of Outliers on your model.
Decision Trees are easy to interpret and hence have multiple applications in different industries. Introduction to Decision Tree
                    
                    
                      



Purity in Decision Trees
                    
                    
                      



Quiz: Purity in Decision Trees
                    
                    
                      



Terminologies Related to Decision Trees
                    
                    
                      



Quiz: Introduction to Decision Trees
                    
                    
                      



Terminologies Related to Decision Trees
                    
                    
                      



How to Select the Best Split Point in Decision Trees
                    
                    
                      



Quiz: How to Select the Best Split Point in Decision Trees
                    
                    
                      



Chi-Square
                    
                    
                      



Quiz: Chi-Square
                    
                    
                      



Information Gain
                    
                    
                      



Quiz: Information Gain
                    
                    
                      



Reduction in Variance
                    
                    
                      



Quiz: Reduction in Variance
                    
                    
                      



Optimizing Performance of Decision Trees
                    
                    
                      



Quiz: Optimizing Performance of Decision Trees
                    
                    
                      



Decision Tree Implementation
                    
                    
                      



Dataset: Decision Tree Implementation
                    
                    
                      



Where to go from here?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introduction to Python,"Do you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career?
You have come to just the right place!

Most industry experts recommend starting your Data Science journey with Python
Across biggest companies and startups, Python is the most used language for Data Science and Machine Learning Projects
Stackoverflow survey for 2019 had Python outrank Java in the list of most loved languages

Python is a very versatile language since it has a wide array of functionalities already available. The sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all.
Most data scientists have a few go-to libraries for their daily tasks like:

for performing data cleaning and analysis - pandas
for basic statistical tools – numpy, scipy
for data visualization – matplotlib, seaborn","Overview of the Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to Python Do you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career?
You have come to just the right place!

Most industry experts recommend starting your Data Science journey with Python
Across biggest companies and startups, Python is the most used language for Data Science and Machine Learning Projects
Stackoverflow survey for 2019 had Python outrank Java in the list of most loved languages

Python is a very versatile language since it has a wide array of functionalities already available. The sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all.
Most data scientists have a few go-to libraries for their daily tasks like:

for performing data cleaning and analysis - pandas
for basic statistical tools – numpy, scipy
for data visualization – matplotlib, seaborn Overview of the Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Loan Prediction Practice Problem (Using Python),"This course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in.
In this course, we are solving a real life case study of Dream Housing Finance. The company deals in all home loans. They have a presence across all urban, semi-urban and rural areas. Customers first apply for a home loan after that company validates the customer's eligibility. The company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form.
By the end of the course, you will have a solid understanding of Classification problem and Various approaches to solve the probem","Introduction to the Course
                    
                    
                      



Table of Contents
                    
                    
                      



Problem Statement
                    
                    
                      



Hypothesis Generation
                    
                    
                      



Exercise 2  | Discussion
                    
                    
                      



Getting the system ready and loading the data
                    
                    
                      



Understanding the Data
                    
                    
                      



Univariate Analysis
                    
                    
                      



Bivariate Analysis
                    
                    
                      



Missing Value and Outlier Treatment
                    
                    
                      



Evaluation Metrics for Classification Problems
                    
                    
                      



Model Building : Part I
                    
                    
                      



Logistic Regression using stratified k-folds cross validation
                    
                    
                      



Feature Engineering
                    
                    
                      



Model Building : Part II
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Loan Prediction Practice Problem (Using Python) This course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in.
In this course, we are solving a real life case study of Dream Housing Finance. The company deals in all home loans. They have a presence across all urban, semi-urban and rural areas. Customers first apply for a home loan after that company validates the customer's eligibility. The company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form.
By the end of the course, you will have a solid understanding of Classification problem and Various approaches to solve the probem Introduction to the Course
                    
                    
                      



Table of Contents
                    
                    
                      



Problem Statement
                    
                    
                      



Hypothesis Generation
                    
                    
                      



Exercise 2  | Discussion
                    
                    
                      



Getting the system ready and loading the data
                    
                    
                      



Understanding the Data
                    
                    
                      



Univariate Analysis
                    
                    
                      



Bivariate Analysis
                    
                    
                      



Missing Value and Outlier Treatment
                    
                    
                      



Evaluation Metrics for Classification Problems
                    
                    
                      



Model Building : Part I
                    
                    
                      



Logistic Regression using stratified k-folds cross validation
                    
                    
                      



Feature Engineering
                    
                    
                      



Model Building : Part II
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Big Mart Sales Prediction Using R,"Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.
In this course you will be working on the Big Mart Sales Prediction Challenge.
The course will equip you with the skills and techniques required to solve regression problems in R. You will be provided with sufficient theory and practice material to hone your predictive modeling skills.","Overview of the Course
                    
                    
                      



Table of contents
                    
                    
                      



Problem Statement
                    
                    
                      



Hypothesis Generation
                    
                    
                      



Loading Packages and Data
                    
                    
                      



Understanding the Data
                    
                    
                      



Univariate Analysis
                    
                    
                      



Bivariate Analysis
                    
                    
                      



Missing Value Treatment
                    
                    
                      



Feature Engineering
                    
                    
                      



Encoding Categorical Variables
                    
                    
                      



PreProcessing Data
                    
                    
                      



Model Building
                    
                    
                      



Linear Regression
                    
                    
                      



Regularized Linear Regression
                    
                    
                      



Random Forest
                    
                    
                      



XGBoost
                    
                    
                      



Summary
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Big Mart Sales Prediction Using R Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.
In this course you will be working on the Big Mart Sales Prediction Challenge.
The course will equip you with the skills and techniques required to solve regression problems in R. You will be provided with sufficient theory and practice material to hone your predictive modeling skills. Overview of the Course
                    
                    
                      



Table of contents
                    
                    
                      



Problem Statement
                    
                    
                      



Hypothesis Generation
                    
                    
                      



Loading Packages and Data
                    
                    
                      



Understanding the Data
                    
                    
                      



Univariate Analysis
                    
                    
                      



Bivariate Analysis
                    
                    
                      



Missing Value Treatment
                    
                    
                      



Feature Engineering
                    
                    
                      



Encoding Categorical Variables
                    
                    
                      



PreProcessing Data
                    
                    
                      



Model Building
                    
                    
                      



Linear Regression
                    
                    
                      



Regularized Linear Regression
                    
                    
                      



Random Forest
                    
                    
                      



XGBoost
                    
                    
                      



Summary
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
